Gene_original,Gene_limpo,ENTREZID
NUDT14,NUDT14,256281
BPNT1,BPNT1,10380
FADS2,FADS2,9415
DDAH2,DDAH2,23564
ABHD16A,ABHD16A,7920
TXNDC12,TXNDC12,51060
EFEMP2,EFEMP2,30008
MBD3,MBD3,53615
NUDT3,NUDT3,11165
NDUFB10,NDUFB10,4716
CLPTM1,CLPTM1,1209
MOCS2,MOCS2,4338
TOMM40,TOMM40,10452
PEX11B,PEX11B,8799
PAK4,PAK4,10298
ACTL6A,ACTL6A,86
NSD2,NSD2,7468
MT-CYB,MT-CYB,4519
LDHA,LDHA,3939
ALDH1A1,ALDH1A1,216
GLUD1,GLUD1,2746
DHFR,DHFR,1719
CYB5R3,CYB5R3,1727
GSR,GSR,2936
MT-CO1,MT-CO1,4512
MT-CO2,MT-CO2,4513
MT-CO3,MT-CO3,4514
CP,CP,1356
F13A1,F13A1,2162
PNP,PNP,4860
HPRT1,HPRT1,3251
GOT2,GOT2,2806
EGFR,EGFR,1956
PGK1,PGK1,5230
AK1,AK1,203
F2,F2,2147
C1R,C1R,715
HP,HP,3240
HPR,HPR,3250
F9,F9,2158
F10,F10,2159
PLG,PLG,5340
F12,F12,2161
CFB,CFB,629
ADA,ADA,100
MT-ATP6,MT-ATP6,4508
ASS1,ASS1,445
OAS1,OAS1,4938
SERPINA1,SERPINA1,5265
SERPINA3,SERPINA3,12
AGT,AGT,183
A2M,A2M,2
C3,C3,718
TIMP1,TIMP1,7076
CST3,CST3,1471
KNG1,KNG1,3827
NRAS,NRAS,4893
KRAS,KRAS,3845
LDLR,LDLR,3949
JCHAIN,JCHAIN,3512
IGKV1-17,IGKV1-17,28937
IGKV1D-16,IGKV1D-16,28901
IGKV1-5,IGKV1-5,28299
IGKV3-20,IGKV3-20,28912
IGLV1-47,IGLV1-47,28822
IGLV1-51,IGLV1-51,28820
IGLV1-40,IGLV1-40,28825
IGLV2-23,IGLV2-23,28813
IGLV2-8,IGLV2-8,28817
IGLV3-19,IGLV3-19,28797
IGLV6-57,IGLV6-57,28778
IGHV1-69,IGHV1-69,28461
IGHV1-46,IGHV1-46,28465
IGHV3-13,IGHV3-13,28449
IGHV3-7,IGHV3-7,28452
IGKC,IGKC,3514
IGHG2,IGHG2,3501
IGHG3,IGHG3,3502
IGHG4,IGHG4,3503
IGHM,IGHM,3507
IGHA1,IGHA1,3493
HLA-B,HLA-B,3106
HLA-H,HLA-H,3136
HLA-DRA,HLA-DRA,3122
HLA-DRB1,HLA-DRB1,3123
HLA-DQB1,HLA-DQB1,3119
HBD,HBD,3045
COL1A1,COL1A1,1277
COL3A1,COL3A1,1281
COL4A1,COL4A1,1282
CRYAB,CRYAB,1410
KRT14,KRT14,3861
KRT6A,KRT6A,3853
LMNA,LMNA,4000
SPTA1,SPTA1,6708
APOA1,APOA1,335
APOE,APOE,348
APOA2,APOA2,336
APOC1,APOC1,341
APOC3,APOC3,345
FGA,FGA,2243
FGB,FGB,2244
FGG,FGG,2266
MBP,MBP,4155
PMP2,PMP2,5375
SLC4A1,SLC4A1,6521
APCS,APCS,325
C1QA,C1QA,712
C1QB,C1QB,713
C1QC,C1QC,714
C9,C9,735
APOH,APOH,350
FN1,FN1,2335
AMBP,AMBP,259
ORM1,ORM1,5004
AHSG,AHSG,197
TTR,TTR,7276
GC,GC,2638
PPBP,PPBP,5473
PF4,PF4,5196
TFRC,TFRC,7037
HPX,HPX,3263
FTL,FTL,2512
FTH1,FTH1,2495
MT-ND1,MT-ND1,4535
MT-ND2,MT-ND2,4536
MT-ND3,MT-ND3,4537
MT-ND4,MT-ND4,4538
MT-ND5,MT-ND5,4540
KLKB1,KLKB1,3818
C4BPA,C4BPA,722
VTN,VTN,7448
GBA1,GBA1,2629
FUCA1,FUCA1,2517
ALDOA,ALDOA,226
CSTB,CSTB,1476
ANXA1,ANXA1,301
APOB,APOB,338
PRNP,PRNP,5621
SOD2,SOD2,6648
OAT,OAT,4942
HRG,HRG,3273
THY1,THY1,7070
A1BG,A1BG,1
CD74,CD74,972
S100B,S100B,6285
VWF,VWF,7450
SHBG,SHBG,6462
TUBB4A,TUBB4A,10382
GAPDH,GAPDH,2597
ASL,ASL,435
IGKV1-16,IGKV1-16,28938
HLA-A,HLA-A,3105
HLA-DPB1,HLA-DPB1,3115
ERBB2,ERBB2,2064
CAPNS1,CAPNS1,826
MT1F,MT1F,4494
HSPB1,HSPB1,3315
TYMS,TYMS,7298
CYBB,CYBB,1536
RPN1,RPN1,6184
RPN2,RPN2,6185
GNAI2,GNAI2,2771
ATP1A1,ATP1A1,476
ATP1B1,ATP1B1,481
CHGB,CHGB,1114
APP,APP,351
APOD,APOD,347
ALDH2,ALDH2,217
ITGB3,ITGB3,3690
ITGB2,ITGB2,3689
S100A8,S100A8,6279
HMGN1,HMGN1,3150
SERPINE1,SERPINE1,5054
SLC25A5,SLC25A5,292
SERPINA5,SERPINA5,5104
SERPING1,SERPING1,710
CFI,CFI,3426
ISG15,ISG15,9636
MPO,MPO,4353
PCCA,PCCA,5095
PCCB,PCCB,5096
ALPL,ALPL,249
EIF2S1,EIF2S1,1965
HMGN2,HMGN2,3151
FGF1,FGF1,2246
ICAM1,ICAM1,3383
RPLP1,RPLP1,6176
RPLP2,RPLP2,6181
RPLP0,RPLP0,6175
JUN,JUN,3725
CLEC3B,CLEC3B,7123
SSB,SSB,6741
SERPINA7,SERPINA7,6906
SERPIND1,SERPIND1,3053
ITGB1,ITGB1,3688
PRKCB,PRKCB,5579
KRT18,KRT18,3875
KRT8,KRT8,3856
CALB1,CALB1,793
COL5A2,COL5A2,1290
UROD,UROD,7389
INSR,INSR,3643
FYN,FYN,2534
BCHE,BCHE,590
GLA,GLA,2717
IGKV4-1,IGKV4-1,28908
RB1,RB1,5925
PTMA,PTMA,5757
CDK1,CDK1,983
ATP5F1B,ATP5F1B,506
C2,C2,717
S100A9,S100A9,6280
S100A6,S100A6,6277
APOA4,APOA4,337
EIF4E,EIF4E,1977
ENO1,ENO1,2023
PYGL,PYGL,5836
GPI,GPI,2821
NPM1,NPM1,4869
TPM3,TPM3,7170
ITGAV,ITGAV,3685
HEXA,HEXA,3073
SERPINE2,SERPINE2,5270
EPHX1,EPHX1,2052
DBI,DBI,1622
LDHB,LDHB,3945
NEFL,NEFL,4747
NEFM,NEFM,4741
CENPB,CENPB,1059
GPX1,GPX1,2876
PGK2,PGK2,5232
PROS1,PROS1,5627
P4HB,P4HB,5034
H1-0,H1-0,3005
ACYP1,ACYP1,97
CSF1R,CSF1R,1436
ANXA2,ANXA2,302
C8A,C8A,731
