#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
MSN	SLC9A3R1	9606.ENSP00000353408	9606.ENSP00000262613	0	0	0	0	0	0.964	0.900	0	0.996
MSN	RDX	9606.ENSP00000353408	9606.ENSP00000496414	0	0	0	0.981	0.056	0.776	0.900	0	0.977
MTM1	PLCB1	9606.ENSP00000359423	9606.ENSP00000338185	0	0	0	0	0	0	0.900	0	0.900
MTM1	PLCD3	9606.ENSP00000359423	9606.ENSP00000479636	0	0	0	0	0	0	0.900	0	0.900
MTM1	PLCD1	9606.ENSP00000359423	9606.ENSP00000430344	0	0	0	0	0.049	0	0.900	0	0.900
NADK2	SIRT2	9606.ENSP00000371362	9606.ENSP00000249396	0	0	0	0	0	0	0.900	0	0.900
NAMPT	NT5E	9606.ENSP00000222553	9606.ENSP00000257770	0	0	0	0	0	0	0.900	0	0.900
NAMPT	SIRT2	9606.ENSP00000222553	9606.ENSP00000249396	0	0	0	0	0	0	0.900	0	0.900
NAMPT	NNMT	9606.ENSP00000222553	9606.ENSP00000441434	0	0	0	0	0.083	0	0.900	0	0.904
NCAM2	PRNP	9606.ENSP00000383392	9606.ENSP00000399376	0	0	0	0	0.074	0.180	0.900	0	0.917
NCKAP1	WASF2	9606.ENSP00000354251	9606.ENSP00000483313	0	0	0	0	0.047	0.909	0.900	0	0.990
NEK6	NEK7	9606.ENSP00000362702	9606.ENSP00000356355	0	0	0	0.977	0.056	0.836	0.500	0	0.915
NF1	RRAS2	9606.ENSP00000351015	9606.ENSP00000256196	0	0	0	0	0.051	0.320	0.900	0	0.929
NNMT	SIRT2	9606.ENSP00000441434	9606.ENSP00000249396	0	0	0	0	0	0	0.900	0	0.900
NT5E	NUDT16	9606.ENSP00000257770	9606.ENSP00000422375	0	0	0	0	0.042	0	0.900	0	0.900
NT5E	TK2	9606.ENSP00000257770	9606.ENSP00000299697	0	0	0	0	0	0	0.900	0	0.900
NT5E	TYMP	9606.ENSP00000257770	9606.ENSP00000379038	0	0	0	0	0.044	0	0.900	0	0.900
PFKM	TKT	9606.ENSP00000496597	9606.ENSP00000391481	0	0	0	0	0.074	0	0.937	0	0.939
PGM2L1	PYGL	9606.ENSP00000298198	9606.ENSP00000216392	0	0	0	0	0.111	0	0.937	0	0.942
PGM2L1	PYGB	9606.ENSP00000298198	9606.ENSP00000216962	0	0	0	0	0.111	0	0.937	0	0.942
PHKA1	PHKB	9606.ENSP00000362643	9606.ENSP00000313504	0	0	0	0.820	0.103	0	0.900	0	0.906
PIK3C2A	PIP5K1C	9606.ENSP00000265970	9606.ENSP00000466363	0	0	0	0	0.055	0	0.900	0	0.901
PIK3C2A	SYNJ1	9606.ENSP00000265970	9606.ENSP00000409667	0	0	0	0	0.056	0	0.900	0	0.901
PIK3C2A	PIK3R1	9606.ENSP00000265970	9606.ENSP00000428056	0	0	0	0	0.056	0	0.900	0	0.901
